"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"65","741364344408178688","Mr. Harriott talked my ears off...for over an hour and I was even getting in my car. #annoying #frustrated https://t.co/vNDT1iPQVb","Fri Jun 10 20:20:08 +0000 2016","38.86975206","-77.05492973","Arlington, VA","mr harriott talked ear hour i wa even getting car annoying frustrated http tcovndt1ipqvb"
"69","741366752710295552","Call Crystal Coleman 703-899-5949
https://t.co/6iJNXb5nHz @ Rob's Car Wash https://t.co/JgklTNUNIx","Fri Jun 10 20:29:42 +0000 2016","38.29215","-77.56904","Virginia, USA","call crystal coleman 7038995949 http tco6ijnxb5nhz rob s car wash http tcojgkltnunix"
"70","741368009554563072","That's a pretty car. #Mazda #rx7 #fb #drivingmatters #zoomzoom @ Mazda R&amp;D https://t.co/psg6EJwTOW","Fri Jun 10 20:34:42 +0000 2016","33.69654794","-117.85394125","Irvine, CA","that s pretty car mazda rx7 fb drivingmatters zoomzoom mazda r amp d http tcopsg6ejwtow"
"71","741368348286455810","Had to stop at the store with the dog in the car. My son made a sign. #pets #lovemyson @ Sam's Club https://t.co/XlPhFdaWbr","Fri Jun 10 20:36:02 +0000 2016","38.98913991","-76.55147934","Parole, MD","had stop store dog car my son made sign pet lovemyson sam s club http tcoxlphfdawbr"
"72","741368414275571712","I'm at @Avis Car Rental in San Francisco, CA https://t.co/Gm2exJUciK","Fri Jun 10 20:36:18 +0000 2016","37.6282621","-122.40108","California, USA","i m avis car rental san francisco ca http tcogm2exjucik"
"73","741369491267915777","Chevy Night at Wexford! @ Wexford Starlite Car Cruise https://t.co/wpprR0s01e","Fri Jun 10 20:40:35 +0000 2016","40.63406324","-80.06195163","Bradford Woods, PA","chevy night wexford wexford starlite car cruise http tcowpprr0s01e"
"76","741372566737018880","Probably a really expensive car @ Rodeo dr, Beverely Hills https://t.co/CBKSNb6OGF","Fri Jun 10 20:52:48 +0000 2016","34.06895637","-118.40267947","Beverly Hills, CA","probably really expensive car rodeo dr beverely hills http tcocbksnb6ogf"
"77","741372755770146817","@AnnCurry when u decide2speak truth2power b prepared for suspicious deaths, car accidents, IRS audits,being blackballed in ur industry etals","Fri Jun 10 20:53:33 +0000 2016","40.6831533","-73.6189129","South Hempstead, NY","anncurry u decide2speak truth2power b prepared suspicious death car accident irs audit blackballed ur industry etals"
"78","741373071005601792","Market street vintage car https://t.co/dHrVc9wrL0","Fri Jun 10 20:54:48 +0000 2016","37.77890235","-122.39271218","San Francisco, CA","market street vintage car http tcodhrvc9wrl0"
"79","741373208511819776","I'm at @Hertz Rent a Car in Santa Ana, CA https://t.co/ZbVVR5WsgU","Fri Jun 10 20:55:21 +0000 2016","33.72567","-117.86801","Santa Ana, CA","i m hertz rent car santa ana ca http tcozbvvr5wsgu"
"80","741373271514419200","Thank you Anthony for helping me with my car (at @Brakes_Plus - Plano Ohio Drive in Plano, TX) https://t.co/p2wdRz8aMA","Fri Jun 10 20:55:36 +0000 2016","33.09605943","-96.79643327","Plano, TX","thank anthony helping car brakesplus plano ohio drive plano tx http tcop2wdrz8ama"
"82","741374210002542594","Sometimes we have visitors #classiccarclubmanhattan #bentley @ Classic Car Club Manhattan https://t.co/4Mg9glhic3","Fri Jun 10 20:59:20 +0000 2016","40.75815182","-74.00460362","Manhattan, NY","sometimes visitor classiccarclubmanhattan bentley classic car club manhattan http tco4mg9glhic3"
"83","741374503595429888","Marano &amp; Sons A is hiring! Car Washer/Deta #jobs in GARWOOD Apply today https://t.co/7E7LYYdQV4","Fri Jun 10 21:00:30 +0000 2016","40.650181","-74.323077","Garwood, NJ","marano amp sons a hiring car washerdeta job garwood apply today http tco7e7lyydqv4"
"90","741378118410219524","My car says it's warm outside #100 #kc #summerishereithink @ Blue Hat Crane https://t.co/k5t4TK9sy7","Fri Jun 10 21:14:52 +0000 2016","39.09254","-94.73118","Kansas, USA","my car say s warm outside 100 kc summerishereithink blue hat crane http tcok5t4tk9sy7"
"91","741378325713686529","So in love with my beautiful new car! @ National Museum of the Marine Corps https://t.co/6NYNtSYpmN","Fri Jun 10 21:15:41 +0000 2016","38.54459179","-77.34229717","Virginia, USA","so love beautiful new car national museum marine corps http tco6nyntsypmn"
"94","741379204437159936","Fingers crossed I leave with a new car (@ Rick Case Hyundai in Davie, FL) https://t.co/sansFvXM2n","Fri Jun 10 21:19:11 +0000 2016","26.07608315","-80.36195817","Davie, FL","fingers crossed i leave new car rick case hyundai davie fl http tcosansfvxm2n"
"95","741379664585728000","@QuannDaDon you washing your car snap","Fri Jun 10 21:21:00 +0000 2016","33.074779","-96.712451","Plano, TX","quanndadon washing car snap"
"96","741380352829181952","Anybody need a good used car? (@ Halle Building in Cleveland, OH) https://t.co/WCkhcIvhnK https://t.co/UT9Augg9RF","Fri Jun 10 21:23:44 +0000 2016","41.500069","-81.68404227","Cleveland, OH","anybody need good used car halle building cleveland oh http tcowckhcivhnk http tcout9augg9rf"
"100","741382336202346496","At the car wash (@ Carwash Palace in Kissimmee, FL) https://t.co/DeELoMhNlq","Fri Jun 10 21:31:37 +0000 2016","28.34066315","-81.41344538","Kissimmee, FL","at car wash carwash palace kissimmee fl http tcodeelomhnlq"
"104","741383819937206272","Be safe out there. #car accident #firefighters #caronfire @ Sugar Bowl Ski Resort, Lake Tahoe https://t.co/IH5SWnsI7T","Fri Jun 10 21:37:31 +0000 2016","39.32431018","-120.39448502","California, USA","be safe car accident firefighter caronfire sugar bowl ski resort lake tahoe http tcoih5swnsi7t"
"109","741386961965830144","Multi-car accident. two right lanes blocked in #Miami on I-95 SB after Dolphin Expy #SFLtraffic https://t.co/US2j7Ix0rb","Fri Jun 10 21:50:00 +0000 2016","25.78895","-80.204","Miami, FL","multicar accident two right lane blocked miami i95 sb dolphin expy sfltraffic http tcous2j7ix0rb"
"110","741387162235588609","I'm at Cable Car Cinema and Cafe in Providence, RI https://t.co/K4ogtkOkcF","Fri Jun 10 21:50:48 +0000 2016","41.82310773","-71.40562","Providence, RI","i m cable car cinema cafe providence ri http tcok4ogtkokcf"
"111","741387227662561280","Platinum Car wash! (@ Mister Car Wash in Madison, WI) https://t.co/1Fpct6ks6q https://t.co/YHx5IlhEk6","Fri Jun 10 21:51:04 +0000 2016","43.10600054","-89.3414795","Wisconsin, USA","platinum car wash mister car wash madison wi http tco1fpct6ks6q http tcoyhx5ilhek6"
"112","741387246100566018","TGIF... I'm tired. @ Midway Express Car Wash https://t.co/ezKe8cFcHe","Fri Jun 10 21:51:08 +0000 2016","32.75136","-117.21301","San Diego, CA","tgif i m tired midway express car wash http tcoezke8cfche"
"116","741387900428943360","Car Show! (@ Multi-Lakes Conservation Asso. in Commerce Township, MI) https://t.co/WaL7m5B76E","Fri Jun 10 21:53:44 +0000 2016","42.57865991","-83.47352128","Commerce, MI","car show multilakes conservation asso commerce township mi http tcowal7m5b76e"
"117","741388072227622912","Working on this hot Friday. We've got a Chicago Cubs watch party at 7 and the car show is still going on, so... https://t.co/Lfj91XBIHM","Fri Jun 10 21:54:25 +0000 2016","41.79344233","-88.01009097","Downers Grove, IL","working hot friday we ve got chicago cubs watch party 7 car show still going http tcolfj91xbihm"
"118","741388818578706432","Multi-car accident. two left lanes blocked in #MiamiDade on I-95 NB after Airport Expy, stop and go traffic back to SW 7th St #SFLtraffic","Fri Jun 10 21:57:23 +0000 2016","25.80738","-80.20575","Miami, FL","multicar accident two left lane blocked miamidade i95 nb airport expy stop go traffic back sw 7th st sfltraffic"
"119","741388975873622017","I'm at Sky Harbor Rental Car Center in Phoenix, AZ https://t.co/IMoIiETg71","Fri Jun 10 21:58:00 +0000 2016","33.43083248","-112.04441071","Phoenix, AZ","i m sky harbor rental car center phoenix az http tcoimoiietg71"
"120","741389071130451968","I'm at PHX Rental Car Shuttle - @phxskyharbor in Phoenix, AZ https://t.co/QIIAgemnhK","Fri Jun 10 21:58:23 +0000 2016","33.43096679","-112.04429269","Phoenix, AZ","i m phx rental car shuttle phxskyharbor phoenix az http tcoqiiagemnhk"
"121","741390984378884096","This boy loves car shows!! #carshows #boyswillbeboys #momsbuddy @ Williamsport Park https://t.co/dMFTBfI9a9","Fri Jun 10 22:05:59 +0000 2016","39.59940159","-77.81655983","Williamsport, MD","this boy love car show carshows boyswillbeboys momsbuddy williamsport park http tcodmftbfi9a9"
"124","741392864027021313","Darn truck looks green with al this crap in the air... (@ Blue Wave Car Wash in Middletown, RI) https://t.co/GerDehckZC","Fri Jun 10 22:13:27 +0000 2016","41.53659331","-71.29152445","Middletown, RI","darn truck look green al crap air blue wave car wash middletown ri http tcogerdehckzc"
"128","741395769866002432","So I'm watching Cops and two things stuck out to me.

1. This cop pulled someone over and opened their car door 

2. The cop wearing shorts","Fri Jun 10 22:25:00 +0000 2016","40.7969277","-73.9437432","Manhattan, NY","so i m watching cops two thing stuck 1 this cop pulled someone opened car door 2 the cop wearing short"
"129","741396540887990272","RMS International (USA) inc. GAMES HUB 360 STUNT CAR (2AIFF002) https://t.co/LvVQLeYvve https://t.co/YRWHWIgSKM","Fri Jun 10 22:28:04 +0000 2016","38.88286694","-77.02714205","Washington, DC","rms international usa inc games hub 360 stunt car 2aiff002 http tcolvvqleyvve http tcoyrwhwigskm"
"130","741396862918352896","I'm at San Francisco Cable Car in San Francisco, CA https://t.co/u8G6qvrz8e","Fri Jun 10 22:29:21 +0000 2016","37.80688173","-122.42097418","San Francisco, CA","i m san francisco cable car san francisco ca http tcou8g6qvrz8e"
"132","741397642995961856","#letsdothis #civic #honda #lovemycars (@ Big Daddy's Car Wash in North Bergen, NJ) https://t.co/0xlfIvwHGI","Fri Jun 10 22:32:27 +0000 2016","40.80988598","-74.00635123","North Bergen, NJ","letsdothis civic honda lovemycars big daddy s car wash north bergen nj http tco0xlfivwhgi"
"135","741399549961457664","Week2 #NorthStPaul #Hatersinc @ North Saint Paul History Cruzer Car Show https://t.co/1rvSXB0rEY","Fri Jun 10 22:40:01 +0000 2016","45.01196106","-92.992706","North St Paul, MN","week2 northstpaul hatersinc north saint paul history cruzer car show http tco1rvsxb0rey"
"136","741400685133062145","Getting ready for this hot weekend!! (@ Delta Sonic Car Wash - @deltasonicwash) https://t.co/ahatkoCrG6 https://t.co/hHQLJZVP4x","Fri Jun 10 22:44:32 +0000 2016","41.78052894","-88.20510864","Naperville, IL","getting ready hot weekend delta sonic car wash deltasonicwash http tcoahatkocrg6 http tcohhqljzvp4x"
"140","741402675120623617","Not a bad view while the car cools down https://t.co/n3EeK1IZz4","Fri Jun 10 22:52:27 +0000 2016","39.6644723","-78.44381327","Maryland, USA","not bad view car cool http tcon3eek1izz4"
"143","741404655192772608","Breaking Bad Car Wash! #A1ACarWash #BreakingBad @ A1A Car Wash Walter White's Car Wash https://t.co/HQOwhkyPQF","Fri Jun 10 23:00:19 +0000 2016","35.108277","-106.535701","Albuquerque, NM","breaking bad car wash a1acarwash breakingbad a1a car wash walter white s car wash http tcohqowhkypqf"
"148","741406599281926144","No spots inside for solo diner, so eating in my car, blocked by a monster truck @ Killen's Burgers https://t.co/2mEPZJglsC","Fri Jun 10 23:08:02 +0000 2016","29.5574","-95.28467","Pearland, TX","no spot inside solo diner eating car blocked monster truck killen s burgers http tco2mepzjglsc"
"150","741408063693959168","#PaceCar for #Firestone600 #Indy #Car at @txmotorspeedway #TMS utaradio @ Texas Motor Speedway https://t.co/0QL6pwoyBS","Fri Jun 10 23:13:51 +0000 2016","33.0355214","-97.28261281","Roanoke, TX","pacecar firestone600 indy car txmotorspeedway tms utaradio texas motor speedway http tco0ql6pwoybs"
"153","741408848074932224","It's hot  &amp; very busy. (@ National Car Rental in Chicago, IL) https://t.co/IzKHrk6gOz","Fri Jun 10 23:16:58 +0000 2016","41.88610068","-87.63180568","Chicago, IL","it s hot amp busy national car rental chicago il http tcoizkhrk6goz"
"159","741412277643939840","73-year-old man shot while sitting in car https://t.co/ipLAbvFeg6","Fri Jun 10 23:30:36 +0000 2016","41.88804564","-87.62626724","Chicago, IL","73yearold man shot sitting car http tcoiplabvfeg6"
"160","741413022137098240","MP3 Car Soundvision Co., Ltd. LTE Mobile Phone (2AFJUM1) https://t.co/0MS1g9CfIf https://t.co/t1DXqOvgNq","Fri Jun 10 23:33:33 +0000 2016","38.88286694","-77.02714205","Washington, DC","mp3 car soundvision co ltd lte mobile phone 2afjum1 http tco0ms1g9cfif http tcot1dxqovgnq"
"162","741413276412579840","Ludlow St. 

#car #porn #tonight #live #lowereastside #nyc @ New York, New York https://t.co/fdhBli7ygc","Fri Jun 10 23:34:34 +0000 2016","40.7142","-74.0064","Manhattan, NY","ludlow st car porn tonight live lowereastside nyc new york new york http tcofdhbli7ygc"
"163","741414349865127936","I'm at Delta Sonic Car Wash - @deltasonicwash in Tinley Park, IL https://t.co/9WzbC52xJa","Fri Jun 10 23:38:50 +0000 2016","41.60280387","-87.78600812","Oak Forest, IL","i m delta sonic car wash deltasonicwash tinley park il http tco9wzbc52xja"
"164","741414529356161024","#karaoke in the #car. We are off but having fun @itsjustsimone @ Los Angeles, California https://t.co/zNniEsMtDz","Fri Jun 10 23:39:33 +0000 2016","34.0522","-118.243","Los Angeles, CA","karaoke car we fun itsjustsimone los angeles california http tcoznniesmtdz"
"165","741414605826760705","Dropping off the wheels (@ Rental Car Center in Atlanta, GA) https://t.co/X4w3uaY5pd","Fri Jun 10 23:39:51 +0000 2016","33.63966872","-84.46379185","College Park, GA","dropping wheel rental car center atlanta ga http tcox4w3uay5pd"
"166","741414979618934784","Lamb meatball pitas from realhomechef @ East Capitol Street Car Barn https://t.co/7sUwwLsaPA","Fri Jun 10 23:41:20 +0000 2016","38.89013056","-76.98465556","Washington, DC","lamb meatball pita realhomechef east capitol street car barn http tco7suwwlsapa"
"167","741415089694216193","A car for ants #datsun #convertible #topdown #spottedindc @ 14th &amp; U Street https://t.co/ew8VQUusWD","Fri Jun 10 23:41:46 +0000 2016","38.916995","-77.03184577","Washington, DC","a car ant datsun convertible topdown spottedindc 14th amp u street http tcoew8vquuswd"
"168","741415531400548352","Opened Parking Complaint request via iphone at 1517 Webster St https://t.co/Vm86X9EFAn. Car has been sticking out into alley for 2 weeks.","Fri Jun 10 23:43:32 +0000 2016","39.27184491","-76.60401116","Baltimore, MD","opened parking complaint request via iphone 1517 webster st http tcovm86x9efan car ha sticking alley 2 week"
"169","741417043963043840","#porchbuddy drove her car on the beach #edistobeach #beachlife @ Edisto Island Beach https://t.co/AfnHLG1ULh","Fri Jun 10 23:49:32 +0000 2016","32.48457463","-80.32350409","South Carolina, USA","porchbuddy drove car beach edistobeach beachlife edisto island beach http tcoafnhlg1ulh"
"174","741418780472057856","Watching the last Indy car practice before the NASCAR Camping World Truck Series race... https://t.co/4AS1uqM3lg https://t.co/8UABhMx00c","Fri Jun 10 23:56:26 +0000 2016","33.03572254","-97.28187561","Roanoke, TX","watching last indy car practice nascar camping world truck series race http tco4as1uqm3lg http tco8uabhmx00c"
"175","741419174967320576","Or you know, it could have just come with visors like literally every other car. https://t.co/zaV1yJOnI2","Fri Jun 10 23:58:00 +0000 2016","42.7454851","-83.3718436","Independence, MI","or know could come visor like literally every car http tcozav1yjoni2"
"177","741419291552141312","I'm at National Car Rental - @nationalpro in College Park, GA https://t.co/34DwxAC4TF","Fri Jun 10 23:58:28 +0000 2016","33.64067805","-84.46444631","College Park, GA","i m national car rental nationalpro college park ga http tco34dwxac4tf"
"178","741419322720063488","@ThisislikeBuffy that fucking car.","Fri Jun 10 23:58:36 +0000 2016","40.72128937","-73.85034686","Queens, NY","thisislikebuffy fucking car"
"186","741420721939742720","A nice ass car pulled over in #BeverlyHills @ Rodeo dr, Beverely Hills https://t.co/bhygskvhCE","Sat Jun 11 00:04:09 +0000 2016","34.06895637","-118.40267947","Beverly Hills, CA","a nice car pulled beverlyhills rodeo dr beverely hills http tcobhygskvhce"
"188","741421938485104645","Where is my step dad so I can go out tonight can't wait to get my own car he do this to much","Sat Jun 11 00:08:59 +0000 2016","38.8072782","-76.9513758","Temple Hills, MD","where step dad i go tonight ca nt wait get car much"
"193","741425271434285056","I'm at Downers Grove Car Show in Downers Grove, IL https://t.co/MSuJOlTxhq","Sat Jun 11 00:22:14 +0000 2016","41.793343","-88.01016","Downers Grove, IL","i m downers grove car show downers grove il http tcomsujoltxhq"
"195","741427201623621632","Coolest getaway car ever. #Browan #Scout @ Round House Beacon Falls https://t.co/LvBfpnRuFN","Sat Jun 11 00:29:54 +0000 2016","41.5033302","-73.9620132","Beacon, NY","coolest getaway car ever browan scout round house beacon falls http tcolvbfpnrufn"
"198","741428754732462080","Riding the street car with Amy and Nancy! @ The City Market - Kansas City https://t.co/ymLklGdv1Z","Sat Jun 11 00:36:04 +0000 2016","39.10913454","-94.58232359","Kansas City, MO","riding street car amy nancy the city market kansas city http tcoymlklgdv1z"
"200","741429969465704448","All conductors and grip men off the car wtf @sfmta_muni let's get some efficiency here. Block a lane for the cable car too","Sat Jun 11 00:40:54 +0000 2016","37.8018018","-122.38745584","Financial District, San Francisco","all conductor grip men car wtf sfmtamuni let s get efficiency block lane cable car"
"201","741430602495315969","00 @ Race Car Shop https://t.co/6lXKfxm6YE","Sat Jun 11 00:43:25 +0000 2016","39.22258947","-78.17211446","Virginia, USA","00 race car shop http tco6lxkfxm6ye"
"205","741432141880381440","Food for car (@ BP in Evergreen Park, IL) https://t.co/tBVsGPY9aB","Sat Jun 11 00:49:32 +0000 2016","41.72129127","-87.6877571","Evergreen Park, IL","food car bp evergreen park il http tcotbvsgpy9ab"
"211","741435407984910336","Young guy playing for the #cablecar crowd #onlyinsf @ San Francisco Cable Car https://t.co/edRkcbbTGd","Sat Jun 11 01:02:31 +0000 2016","37.78476926","-122.40777232","San Francisco, CA","young guy playing cablecar crowd onlyinsf san francisco cable car http tcoedrkcbbtgd"
"215","741440815206125568","Fed a super nice homeless guy some chicken wings and having some Irish car bombs. (@ Joey B's On The Landing) https://t.co/3Ft8LGYiQ6","Sat Jun 11 01:24:00 +0000 2016","38.63035718","-90.18450379","St Louis, MO","fed super nice homeless guy chicken wing irish car bomb joey b s on the landing http tco3ft8lgyiq6"
"217","741441714355765248","Maybe this video stops someone from leaving a dog in a hot car https://t.co/yKlchKu0cW","Sat Jun 11 01:27:34 +0000 2016","30.32633066","-81.65339546","Downtown Jacksonville, FL","maybe video stop someone leaving dog hot car http tcoyklchku0cw"
"218","741442467338321924","Friday night car meet @ Ruby's Diner - Redondo Beach https://t.co/tMfTtfBEI9","Sat Jun 11 01:30:34 +0000 2016","33.84443596","-118.39349605","Redondo Beach, CA","friday night car meet ruby s diner redondo beach http tcotmfttfbei9"
"221","741446451419590656","Nigga left me at his house and got I'm the car with ugly bitch","Sat Jun 11 01:46:24 +0000 2016","41.40842892","-82.21551564","Amherst, OH","nigga left house got i m car ugly bitch"
"223","741448931314302981","THIS CAR IS A WAR MACHINE THAT RUNS ON NICOTINE AND GASOLINE @ CarMax https://t.co/orq3vgK065","Sat Jun 11 01:56:15 +0000 2016","36.8373599","-76.10627","Virginia Beach, VA","this car is a war machine that runs on nicotine and gasoline carmax http tcoorq3vgk065"
"229","741450915035648000","Just posted a photo @ 8th Street Car Wash https://t.co/ldHXUdqwMb","Sat Jun 11 02:04:08 +0000 2016","32.71335","-114.63233","Yuma, AZ","just posted photo 8th street car wash http tcoldhxudqwmb"
"231","741451562111934465","Opened Parking Complaint request via android at 1025 W 43rd St Baltimore https://t.co/HXWZdAcqXd. Silver car virginia tags 5341ld.","Sat Jun 11 02:06:42 +0000 2016","39.339877","-76.636176","Baltimore, MD","opened parking complaint request via android 1025 w 43rd st baltimore http tcohxwzdacqxd silver car virginia tag 5341ld"
"233","741452996412899329","My car now has the emblem, oh yeah!! #policeinterceptor #crownvictoria #ford @ La Mesa, California https://t.co/d9Kd8SdaSL","Sat Jun 11 02:12:24 +0000 2016","32.7715","-117.023","La Mesa, CA","my car ha emblem oh yeah policeinterceptor crownvictoria ford la mesa california http tcod9kd8sdasl"
"241","741463502448103425","Whoever owns that white car. U owe my 3yr old nephew $63. #yourewelcome @ Chinatown, Los Angeles https://t.co/dtlppnECI6","Sat Jun 11 02:54:09 +0000 2016","34.05889338","-118.24002596","Los Angeles, CA","whoever owns white car u owe 3yr old nephew 63 yourewelcome chinatown los angeles http tcodtlppneci6"
"243","741464681722875904","de colores dolores @ Car Match LLC https://t.co/sXHRcNKzSS","Sat Jun 11 02:58:50 +0000 2016","26.625563","-80.112663","Lake Worth, FL","de colores dolores car match llc http tcosxhrcnkzss"
"245","741466634473201664","@brenduuuhlee_ the trick is instead of going in a car you run from fast food place to fast food place then run back home lol.","Sat Jun 11 03:06:36 +0000 2016","26.2348526","-98.3334423","Mission, TX","brenduuuhlee trick instead going car run fast food place fast food place run back home lol"
"246","741466712130912256","When in Rome..... Yes at another foreign car manufacturer ... (Kentucky Bourbon Barrel Ale) https://t.co/rFxzJmiyyk #photo","Sat Jun 11 03:06:54 +0000 2016","39.0846","-84.7111","Francisville, KY","when rome yes another foreign car manufacturer kentucky bourbon barrel ale http tcorfxzjmiyyk photo"
